domain,variant,metric,mean,ci_low,ci_high
loan,ethical_no_oversight,fpr_gap,0.0005612053416896151,-0.006835556170519158,0.012703907558326191
loan,ethical_no_oversight,fnr_gap,-0.0005848388727511145,-0.034693744661502435,0.02300409149566964
loan,ethical_no_oversight,aod,0.0005730221072203546,-0.014730183034872904,0.023474221708393576
loan,ethical_no_oversight,harm_rate,0.17789504237780102,0.13100893997445723,0.24235690235690238
loan,ethical_no_oversight,escalation_rate,,,
loan,ethical_no_oversight,override_rate,,,
loan,ethical_no_oversight,corrected_error_rate,,,
loan,ethical_no_oversight,oversight_gain,,,
loan,ethical_with_oversight,accuracy,0.7353871773522065,0.7305578684429642,0.7395503746877602
loan,ethical_with_oversight,balanced_accuracy,0.5434706433978553,0.5335244608469518,0.5540596893094878
loan,ethical_with_oversight,roc_auc,0.7986700399980354,0.788261440223007,0.8118980801977147
loan,ethical_with_oversight,precision,0.7559626334050333,0.689677618704295,0.8222476481057717
loan,ethical_with_oversight,recall,0.10021029108354171,0.0784660766961652,0.12731142157615002
loan,ethical_with_oversight,utility,-0.12756036636136553,-0.1373022481265612,-0.117985012489592
loan,ethical_with_oversight,approval_rate_g0,0.03934360440379643,0.03493886457028232,0.043629820177452365
loan,ethical_with_oversight,approval_rate_g1,0.03656163219994636,0.02279553813365497,0.057266441686011096
loan,ethical_with_oversight,spd,-0.0027819722038500702,-0.01638820436119834,0.016560303321886488
loan,ethical_with_oversight,disparate_impact,0.9137366387042773,0.6150652961374234,1.3657662719307093
loan,ethical_with_oversight,tpr_gap,-0.005106488266670882,-0.03849870882719706,0.03530473282837487
loan,ethical_with_oversight,fpr_gap,0.0011136510229285692,-0.006870945945526665,0.013806601661174867
loan,ethical_with_oversight,fnr_gap,0.0051064882666708835,-0.03530473282837483,0.03849870882719706
loan,ethical_with_oversight,aod,-0.001996418621871157,-0.022567092945357338,0.024993866492218193
loan,ethical_with_oversight,harm_rate,0.24403736659496672,0.17775235189422833,0.310322381295705
loan,ethical_with_oversight,escalation_rate,0.007826810990840965,0.006656952539550375,0.008992506244796004
loan,ethical_with_oversight,override_rate,0.8722222222222221,0.7555555555555555,0.9833333333333332
loan,ethical_with_oversight,corrected_error_rate,0.8933333333333333,0.8200000000000001,0.9666666666666668
loan,ethical_with_oversight,oversight_gain,-0.0047460449625312175,-0.009741881765195668,5.551115123125783e-18
loan,label_correction_only,accuracy,0.7660283097418817,0.7598667776852622,0.7721898417985013
loan,label_correction_only,balanced_accuracy,0.6584999174837411,0.6525136910177339,0.6647558222784233
loan,label_correction_only,roc_auc,0.7983197268840811,0.7882533715486588,0.8111126790487305
loan,label_correction_only,precision,0.6373072799436864,0.611699361390779,0.6629151984965939
loan,label_correction_only,recall,0.4099568705685764,0.3940576670588436,0.4248585806003818
loan,label_correction_only,utility,-0.16727726894254788,-0.18900915903413823,-0.14554537885095756
loan,label_correction_only,approval_rate_g0,0.20565727973576559,0.1785802991410284,0.23153650886023022
loan,label_correction_only,approval_rate_g1,0.161114332538186,0.15498946686112464,0.16640629165555848
loan,label_correction_only,spd,-0.04454294719757962,-0.07061866614272994,-0.012185352004412158
loan,label_correction_only,disparate_impact,0.8019054223707718,0.7007546380194501,0.9487656995462979
loan,label_correction_only,tpr_gap,-0.05537110490108221,-0.08892742629279064,-0.021020782151577155
loan,label_correction_only,fpr_gap,-0.029562382819825084,-0.06089954244980724,0.005974547090854531
loan,label_correction_only,fnr_gap,0.05537110490108221,0.021020782151577145,0.08892742629279064
loan,label_correction_only,aod,-0.04246674386045365,-0.07107499499744172,-0.008262979753342527
loan,label_correction_only,harm_rate,0.3626927200563136,0.33708480150340614,0.38830063860922104
loan,label_correction_only,escalation_rate,,,
loan,label_correction_only,override_rate,,,
loan,label_correction_only,corrected_error_rate,,,
loan,label_correction_only,oversight_gain,,,
loan,no_sensitive_proxy,accuracy,0.7332223147377187,0.7280599500416318,0.73721898417985
loan,no_sensitive_proxy,balanced_accuracy,0.5344722560102859,0.5295515095102746,0.5394715589046534
loan,no_sensitive_proxy,roc_auc,0.790323983327269,0.7790918757462253,0.8058017507028403
loan,no_sensitive_proxy,precision,0.8264835164835164,0.7799999999999999,0.8771428571428572
loan,no_sensitive_proxy,recall,0.07522392700494182,0.06587306506826987,0.0855040777372896
loan,no_sensitive_proxy,utility,-0.12331390507910074,-0.1301415487094088,-0.1174021648626145
loan,no_sensitive_proxy,approval_rate_g0,0.03623629452375559,0.03115953646370569,0.0420170449780533
loan,no_sensitive_proxy,approval_rate_g1,0.015879172668095812,0.01430747169695779,0.01745087363923383
loan,no_sensitive_proxy,spd,-0.020357121855659778,-0.025638861032054157,-0.014811031301352376
loan,no_sensitive_proxy,disparate_impact,0.4502429430398093,0.378281085977115,0.5426481797292213
loan,no_sensitive_proxy,tpr_gap,-0.05205911669946546,-0.06339347627233602,-0.041275228846542625
loan,no_sensitive_proxy,fpr_gap,-0.0056528705167031125,-0.00927890238989432,-0.0013323555958740306
loan,no_sensitive_proxy,fnr_gap,0.05205911669946543,0.0412752288465426,0.063393476272336
loan,no_sensitive_proxy,aod,-0.028855993608084284,-0.03630429097855381,-0.021251122153959443
loan,no_sensitive_proxy,harm_rate,0.17351648351648352,0.12285714285714286,0.22000000000000003
loan,no_sensitive_proxy,escalation_rate,,,
loan,no_sensitive_proxy,override_rate,,,
loan,no_sensitive_proxy,corrected_error_rate,,,
loan,no_sensitive_proxy,oversight_gain,,,
medical_triage,baseline,accuracy,0.615820149875104,0.6059950041631973,0.6233139050791008
medical_triage,baseline,balanced_accuracy,0.670872587609567,0.6597960144891448,0.6772002360464358
medical_triage,baseline,roc_auc,0.7583775070847658,0.7446113954645897,0.7691589553908793
